row_id,Attack Type,split
row_035843,Malware,train
row_039824,Intrusion,train
row_020576,DDoS,train
row_020803,Malware,train
row_014155,DDoS,train
row_019040,Malware,train
row_011894,Malware,train
row_020489,Malware,train
row_012094,Intrusion,train
row_011369,DDoS,train
row_028011,DDoS,train
row_005019,Malware,train
row_010179,Intrusion,train
row_021126,Intrusion,train
row_005829,DDoS,train
row_028380,DDoS,train
row_029964,Intrusion,train
row_019484,DDoS,train
row_019565,Malware,train
row_007999,DDoS,train
row_019889,Intrusion,train
row_024665,DDoS,train
row_030842,DDoS,train
row_029921,Intrusion,train
row_023964,DDoS,train
row_017160,DDoS,train
row_003925,Malware,train
row_004837,Malware,train
row_022811,DDoS,train
row_007443,Intrusion,train
row_011224,Malware,train
row_029840,Intrusion,train
row_021253,Intrusion,train
row_037223,Malware,train
row_039492,DDoS,train
row_018209,Malware,train
row_016316,Intrusion,train
row_014406,Intrusion,train
row_018277,Malware,train
row_035697,DDoS,train
row_005783,DDoS,train
row_019178,DDoS,train
row_012967,Intrusion,train
row_034656,Malware,train
row_036028,Malware,train
row_019752,Intrusion,train
row_016038,Malware,train
row_016548,Malware,train
row_001412,Malware,train
row_013688,Malware,train
row_000290,Intrusion,train
row_027202,Intrusion,train
row_032125,DDoS,train
row_038450,DDoS,train
row_039368,Intrusion,train
row_011333,Malware,train
row_029906,Malware,train
row_003032,Intrusion,train
row_015477,Malware,train
row_005479,Intrusion,train
row_008463,DDoS,train
row_037473,Intrusion,train
row_033913,Intrusion,train
row_019437,Malware,train
row_010394,DDoS,train
row_006854,DDoS,train
row_020198,Intrusion,train
row_014675,Intrusion,train
row_031637,DDoS,train
row_039128,Malware,train
row_013966,Intrusion,train
row_000703,Intrusion,train
row_003421,Intrusion,train
row_006663,Intrusion,train
row_000524,Intrusion,train
row_006589,DDoS,train
row_036586,Malware,train
row_039432,Intrusion,train
row_004756,DDoS,train
row_030535,Malware,train
row_035097,Malware,train
row_028887,Intrusion,train
row_016983,Malware,train
row_027204,Intrusion,train
row_031499,DDoS,train
row_016333,DDoS,train
row_008608,Intrusion,train
row_009591,Malware,train
row_020960,Intrusion,train
row_029675,Intrusion,train
row_009495,DDoS,train
row_032786,Malware,train
row_021479,Malware,train
row_016819,Malware,train
row_012059,DDoS,train
row_038341,DDoS,train
row_019729,DDoS,train
row_020038,Malware,train
row_004941,Malware,train
row_018842,DDoS,train
row_037483,DDoS,train
row_003416,Malware,train
row_015283,Intrusion,train
row_032470,DDoS,train
row_036026,Malware,train
row_006610,Malware,train
row_025017,Intrusion,train
row_023177,Malware,train
row_014033,Intrusion,train
row_039982,DDoS,train
row_023647,DDoS,train
row_032553,DDoS,train
row_013984,Malware,train
row_011889,Malware,train
row_006064,Intrusion,train
row_027825,Intrusion,train
row_039579,DDoS,train
row_016825,DDoS,train
row_014260,DDoS,train
row_025594,Intrusion,train
row_010387,Intrusion,train
row_014213,Malware,train
row_007549,Malware,train
row_027111,Malware,train
row_031129,Malware,train
row_016135,Intrusion,train
row_006804,Intrusion,train
row_026696,Intrusion,train
row_013664,Malware,train
row_008859,Intrusion,train
row_026423,Malware,train
row_010238,Malware,train
row_020812,Intrusion,train
row_019310,DDoS,train
row_030853,Intrusion,train
row_004752,Malware,train
row_022014,Intrusion,train
row_005943,DDoS,train
row_011323,Malware,train
row_028151,DDoS,train
row_021826,Intrusion,train
row_009030,Malware,train
row_032684,DDoS,train
row_009978,DDoS,train
row_019001,Malware,train
row_039929,Intrusion,train
row_007593,Intrusion,train
row_014536,Intrusion,train
row_018741,DDoS,train
row_014646,DDoS,train
row_013878,Malware,train
row_001761,Intrusion,train
row_035657,DDoS,train
row_001636,Intrusion,train
row_018809,Intrusion,train
row_008318,Intrusion,train
row_034484,Intrusion,train
row_006309,DDoS,train
row_028678,Intrusion,train
row_037364,Malware,train
row_016252,Intrusion,train
row_003853,DDoS,train
row_017649,DDoS,train
row_001345,Malware,train
row_017483,Malware,train
row_025357,DDoS,train
row_010447,Malware,train
row_033740,Intrusion,train
row_024775,Intrusion,train
row_027840,Malware,train
row_019427,Malware,train
row_027068,DDoS,train
row_017209,Malware,train
row_036450,DDoS,train
row_001208,Intrusion,train
row_024608,Malware,train
row_035770,Intrusion,train
row_037638,Malware,train
row_018248,Malware,train
row_010152,DDoS,train
row_000421,Intrusion,train
row_007402,DDoS,train
row_017597,DDoS,train
row_006544,Intrusion,train
row_006323,Malware,train
row_003692,Intrusion,train
row_001962,DDoS,train
row_024300,DDoS,train
row_017671,Malware,train
row_036168,Malware,train
row_005294,Malware,train
row_009217,DDoS,train
row_035314,Malware,train
row_016887,Intrusion,train
row_034880,DDoS,train
row_010986,Malware,train
row_026057,Intrusion,train
row_021026,DDoS,train
row_010793,Intrusion,train
row_039254,DDoS,train
row_038932,Malware,train
row_024495,Malware,train
row_001477,DDoS,train
row_008571,Malware,train
row_030919,Malware,train
row_035978,DDoS,train
row_032095,Malware,train
row_028421,Malware,train
row_035990,DDoS,train
row_024507,DDoS,train
row_038535,Intrusion,train
row_018104,Intrusion,train
row_014807,DDoS,train
row_002182,DDoS,train
row_002394,DDoS,train
row_000253,DDoS,train
row_003290,Intrusion,train
row_021635,DDoS,train
row_001605,DDoS,train
row_027549,Intrusion,train
row_018969,DDoS,train
row_011473,Malware,train
row_002918,DDoS,train
row_022511,Intrusion,train
row_002471,Malware,train
row_008891,DDoS,train
row_022029,DDoS,train
row_010777,DDoS,train
row_021018,Intrusion,train
row_031732,Malware,train
row_009246,Intrusion,train
row_032390,Malware,train
row_020544,Intrusion,train
row_002813,Malware,train
row_007983,Malware,train
row_000444,Malware,train
row_012261,DDoS,train
row_018059,DDoS,train
row_012669,Intrusion,train
row_027751,DDoS,train
row_000688,DDoS,train
row_003998,Intrusion,train
row_033007,Intrusion,train
row_002864,Malware,train
row_001775,Malware,train
row_003403,Intrusion,train
row_029518,Intrusion,train
row_022671,DDoS,train
row_000510,Intrusion,train
row_011153,DDoS,train
row_000398,DDoS,train
row_022642,DDoS,train
row_012295,Malware,train
row_034688,DDoS,train
row_002506,Intrusion,train
row_036146,DDoS,train
row_030628,DDoS,train
row_012824,Malware,train
row_036717,Malware,train
row_030765,Intrusion,train
row_015754,Intrusion,train
row_000954,Malware,train
row_019130,DDoS,train
row_010367,Intrusion,train
row_003893,DDoS,train
row_010209,Malware,train
row_016071,Intrusion,train
row_022328,Malware,train
row_011831,Intrusion,train
row_033497,DDoS,train
row_026697,Malware,train
row_031554,DDoS,train
row_030520,Malware,train
row_019099,Intrusion,train
row_025387,Intrusion,train
row_017724,Intrusion,train
row_033209,DDoS,train
row_019298,Intrusion,train
row_010937,Malware,train
row_032976,Malware,train
row_009063,DDoS,train
row_004332,DDoS,train
row_030684,Intrusion,train
row_034392,Malware,train
row_026620,Intrusion,train
row_003732,Malware,train
row_019791,DDoS,train
row_012610,Intrusion,train
row_032678,DDoS,train
row_000721,DDoS,train
row_015529,Intrusion,train
row_006506,Intrusion,train
row_025536,Malware,train
row_016540,Intrusion,train
row_036505,DDoS,train
row_002935,DDoS,train
row_030973,Malware,train
row_031387,Intrusion,train
row_034512,DDoS,train
row_003906,Malware,train
row_036247,Intrusion,train
row_020527,Intrusion,train
row_023698,DDoS,train
row_035625,Malware,train
row_017602,DDoS,train
row_028071,Intrusion,train
row_023536,Malware,train
row_029184,DDoS,train
row_006752,DDoS,train
row_025999,Intrusion,train
row_015767,DDoS,train
row_030888,Intrusion,train
row_019557,Intrusion,train
row_012421,DDoS,train
row_035757,DDoS,train
row_006656,Malware,train
row_004352,Malware,train
row_009370,DDoS,train
row_038897,Malware,train
row_028503,Intrusion,train
row_027771,DDoS,train
row_005657,DDoS,train
row_022839,DDoS,train
row_030241,Intrusion,train
row_001474,Malware,train
row_008068,Intrusion,train
row_039514,DDoS,train
row_000521,Intrusion,train
row_000151,Intrusion,train
row_034100,Malware,train
row_032438,Intrusion,train
row_011214,Intrusion,train
row_003476,Malware,train
row_013122,Malware,train
row_021578,Malware,train
row_035970,Malware,train
row_014104,DDoS,train
row_033122,Intrusion,train
row_010203,Intrusion,train
row_022994,Intrusion,train
row_010546,Intrusion,train
row_030297,Malware,train
row_005511,Intrusion,train
row_022129,DDoS,train
row_017213,Malware,train
row_034991,Malware,train
row_025609,Malware,train
row_018448,Malware,train
row_000198,Malware,train
row_006746,DDoS,train
row_017456,Malware,train
row_032327,Intrusion,train
row_030119,DDoS,train
row_013697,DDoS,train
row_002517,Intrusion,train
row_034271,Intrusion,train
row_025078,Intrusion,train
row_030908,DDoS,train
row_015664,DDoS,train
row_039479,Malware,train
row_015386,DDoS,train
row_006006,DDoS,train
row_015734,Malware,train
row_013710,DDoS,train
row_035334,Intrusion,train
row_024836,Intrusion,train
row_003510,Malware,train
row_023000,DDoS,train
row_032675,Intrusion,train
row_025489,Intrusion,train
row_011277,Intrusion,train
row_034004,Malware,train
row_036017,DDoS,train
row_001444,Intrusion,train
row_014127,DDoS,train
row_016404,Malware,train
row_037072,DDoS,train
row_017573,Malware,train
row_010225,Intrusion,train
row_034652,Malware,train
row_001955,Intrusion,train
row_038087,Intrusion,train
row_015548,Intrusion,train
row_023274,Intrusion,train
row_003182,Malware,train
row_003438,Intrusion,train
row_023085,DDoS,train
row_014395,Malware,train
row_011801,DDoS,train
row_029493,DDoS,train
row_000708,Intrusion,train
row_003455,DDoS,train
row_020774,Malware,train
row_012890,Intrusion,train
row_008246,Malware,train
row_002114,Intrusion,train
row_037667,Malware,train
row_020799,Malware,train
row_002856,Intrusion,train
row_006890,DDoS,train
row_004269,DDoS,train
row_033350,Intrusion,train
row_030316,Malware,train
row_018715,Malware,train
row_034367,Intrusion,train
row_030067,Malware,train
row_000643,DDoS,train
row_031804,Malware,train
row_025690,Intrusion,train
row_007819,Malware,train
row_038202,Intrusion,train
row_003805,Intrusion,train
row_029222,Intrusion,train
row_036509,Malware,train
row_013339,Intrusion,train
row_000008,Intrusion,train
row_015444,DDoS,train
row_017925,Malware,train
row_025109,Intrusion,train
row_008798,Intrusion,train
row_020130,DDoS,train
row_034731,DDoS,train
row_022566,Intrusion,train
row_032149,Malware,train
row_019454,Malware,train
row_003089,DDoS,train
row_002190,Malware,train
row_005061,Malware,train
row_021266,Malware,train
row_031447,Intrusion,train
row_033442,Malware,train
row_039191,Malware,train
row_005708,Malware,train
row_018016,DDoS,train
row_001430,Malware,train
row_021183,Intrusion,train
row_014800,Intrusion,train
row_001496,DDoS,train
row_035803,Intrusion,train
row_010466,DDoS,train
row_037233,Malware,train
row_010158,Intrusion,train
row_004105,Intrusion,train
row_024212,Malware,train
row_035576,Intrusion,train
row_027479,DDoS,train
row_028067,DDoS,train
row_006995,Intrusion,train
row_022237,Intrusion,train
row_002428,Intrusion,train
row_026825,Intrusion,train
row_002255,Malware,train
row_011167,DDoS,train
row_016915,DDoS,train
row_038886,DDoS,train
row_030312,DDoS,train
row_030265,DDoS,train
row_015855,DDoS,train
row_038847,Malware,train
row_002370,Malware,train
row_005523,DDoS,train
row_015557,DDoS,train
row_013004,Malware,train
row_008625,DDoS,train
row_016157,DDoS,train
row_031102,Malware,train
row_016567,Intrusion,train
row_014653,Intrusion,train
row_029250,Malware,train
row_028150,Intrusion,train
row_031212,DDoS,train
row_000366,DDoS,train
row_003750,Intrusion,train
row_035848,Malware,train
row_038063,DDoS,train
row_019188,DDoS,train
row_007637,DDoS,train
row_013594,DDoS,train
row_003577,DDoS,train
row_007551,Intrusion,train
row_016181,Malware,train
row_006661,Intrusion,train
row_027957,Malware,train
row_039069,DDoS,train
row_015514,Intrusion,train
row_007552,DDoS,train
row_010672,Malware,train
row_019457,Malware,train
row_008020,DDoS,train
row_023990,Malware,train
row_015343,Intrusion,train
row_027038,Intrusion,train
row_033983,Intrusion,train
row_030815,DDoS,train
row_036420,Intrusion,train
row_033123,Intrusion,train
row_008588,Intrusion,train
row_021913,DDoS,train
row_023771,DDoS,train
row_031280,Intrusion,train
row_026688,DDoS,train
row_018073,Intrusion,train
row_018031,Intrusion,train
row_012987,Malware,train
row_003470,Intrusion,train
row_029029,DDoS,train
row_024502,DDoS,train
row_032192,Malware,train
row_005067,Intrusion,train
row_014131,Intrusion,train
row_026132,Intrusion,train
row_022794,Malware,train
row_005367,Intrusion,train
row_014353,Intrusion,train
row_034758,Malware,train
row_017488,Intrusion,train
row_029447,Intrusion,train
row_037594,DDoS,train
row_013910,DDoS,train
row_034743,Malware,train
row_007924,Malware,train
row_024717,Malware,train
row_021165,Malware,train
row_037679,Malware,train
row_008041,Malware,train
row_010900,Intrusion,train
row_003423,Malware,train
row_007777,Intrusion,train
row_018950,DDoS,train
row_001560,Malware,train
row_013528,DDoS,train
row_035496,DDoS,train
row_014658,Malware,train
row_016224,Malware,train
row_029439,DDoS,train
row_029467,Intrusion,train
row_025306,Malware,train
row_018317,Malware,train
row_000701,DDoS,train
row_019863,DDoS,train
row_009907,Malware,train
row_024060,Malware,train
row_003890,Intrusion,train
row_013188,Intrusion,train
row_002836,DDoS,train
row_037559,DDoS,train
row_009186,Intrusion,train
row_034300,Malware,train
row_024982,Intrusion,train
row_031377,Intrusion,train
row_015916,DDoS,train
row_019570,DDoS,train
row_030323,Intrusion,train
row_026727,Intrusion,train
row_024174,Malware,train
row_002290,DDoS,train
row_037430,DDoS,train
row_004174,DDoS,train
row_036020,Intrusion,train
row_000968,DDoS,train
row_007609,Malware,train
row_011593,Malware,train
row_035548,DDoS,train
row_018371,Intrusion,train
row_023699,Malware,train
row_020908,Malware,train
row_038090,Malware,train
row_021151,DDoS,train
row_028415,Malware,train
row_000780,Malware,train
row_003372,Malware,train
row_006355,DDoS,train
row_027105,Malware,train
row_005365,Intrusion,train
row_017431,DDoS,train
row_036462,Intrusion,train
row_032995,Malware,train
row_039126,Intrusion,train
row_023523,Intrusion,train
row_002201,Intrusion,train
row_032662,Malware,train
row_018535,Malware,train
row_008313,Malware,train
row_038389,DDoS,train
row_008671,Malware,train
row_008472,DDoS,train
row_010448,Intrusion,train
row_005252,DDoS,train
row_000944,DDoS,train
row_000390,Malware,train
row_012707,DDoS,train
row_028324,DDoS,train
row_010969,Intrusion,train
row_019619,DDoS,train
row_031800,Malware,train
row_013912,Malware,train
row_024917,DDoS,train
row_002909,Intrusion,train
row_015571,Intrusion,train
row_024694,Malware,train
row_005388,DDoS,train
row_012975,Intrusion,train
row_016140,Intrusion,train
row_003396,Malware,train
row_016365,Malware,train
row_015068,Malware,train
row_010315,Malware,train
row_024739,Intrusion,train
row_002376,Malware,train
row_027241,DDoS,train
row_039610,DDoS,train
row_006358,Intrusion,train
row_029740,Intrusion,train
row_023024,Intrusion,train
row_001404,DDoS,train
row_038841,Malware,train
row_016786,DDoS,train
row_019961,DDoS,train
row_017275,Malware,train
row_034028,DDoS,train
row_026774,Malware,train
row_007859,Malware,train
row_004691,Malware,train
row_007153,Malware,train
row_004203,DDoS,train
row_033991,DDoS,train
row_010066,Malware,train
row_004199,Malware,train
row_017771,Intrusion,train
row_011125,Intrusion,train
row_034378,Malware,train
row_004585,Malware,train
row_017757,DDoS,train
row_038853,DDoS,train
row_037550,Intrusion,train
row_033472,Malware,train
row_004727,Intrusion,train
row_003117,Malware,train
row_013614,Malware,train
row_020948,DDoS,train
row_029741,DDoS,train
row_002123,DDoS,train
row_012585,Malware,train
row_019900,Malware,train
row_025697,Malware,train
row_006083,DDoS,train
row_009489,DDoS,train
row_018258,Intrusion,train
row_031379,Malware,train
row_034518,Malware,train
row_024908,Intrusion,train
row_037200,DDoS,train
row_017184,DDoS,train
row_016312,Intrusion,train
row_012778,Intrusion,train
row_001763,Intrusion,train
row_013441,DDoS,train
row_000700,Intrusion,train
row_010289,DDoS,train
row_030454,Malware,train
row_037766,Intrusion,train
row_009366,Malware,train
row_033395,DDoS,train
row_039388,Malware,train
row_008215,Malware,train
row_018703,DDoS,train
row_007028,Malware,train
row_012786,DDoS,train
row_030748,Intrusion,train
row_039263,Intrusion,train
row_006597,Malware,train
row_023122,Intrusion,train
row_035906,Malware,train
row_028465,Intrusion,train
row_011787,DDoS,train
row_039488,Malware,train
row_033339,DDoS,train
row_023895,Malware,train
row_031094,DDoS,train
row_025843,DDoS,train
row_025016,Intrusion,train
row_015252,DDoS,train
row_037415,DDoS,train
row_018919,Malware,train
row_003386,Malware,train
row_033677,Malware,train
row_009879,DDoS,train
row_017214,Intrusion,train
row_024770,Malware,train
row_024063,DDoS,train
row_021597,Intrusion,train
row_011390,DDoS,train
row_032176,DDoS,train
row_014362,Malware,train
row_024512,Malware,train
row_031108,Malware,train
row_003268,Intrusion,train
row_039241,Malware,train
row_021567,DDoS,train
row_019816,Malware,train
row_028043,Intrusion,train
row_016838,Malware,train
row_021627,Malware,train
row_023101,Intrusion,train
row_000679,Malware,train
row_007781,Intrusion,train
row_038629,Intrusion,train
row_000108,Malware,train
row_031024,Malware,train
row_002641,Intrusion,train
row_030828,Intrusion,train
row_036159,Malware,train
row_002020,DDoS,train
row_017719,Intrusion,train
row_038597,DDoS,train
row_004115,DDoS,train
row_002658,Intrusion,train
row_018211,DDoS,train
row_004737,Intrusion,train
row_016597,Malware,train
row_023533,Intrusion,train
row_006432,Malware,train
row_008809,DDoS,train
row_021270,Malware,train
row_025024,Intrusion,train
row_018572,DDoS,train
row_013850,Intrusion,train
row_022629,Intrusion,train
row_032572,DDoS,train
row_037717,DDoS,train
row_015599,DDoS,train
row_012920,Intrusion,train
row_037811,Malware,train
row_019047,Intrusion,train
row_002108,Malware,train
row_011262,Malware,train
row_007461,Intrusion,train
row_036525,DDoS,train
row_004415,Malware,train
row_001140,DDoS,train
row_008393,Intrusion,train
row_030519,Malware,train
row_009880,DDoS,train
row_001831,Intrusion,train
row_032412,DDoS,train
row_017191,Malware,train
row_022026,Malware,train
row_025242,DDoS,train
row_001705,Intrusion,train
row_035016,Intrusion,train
row_008046,DDoS,train
row_027921,Intrusion,train
row_023449,DDoS,train
row_001465,Malware,train
row_000346,Intrusion,train
row_032820,Malware,train
row_008474,Intrusion,train
row_038712,DDoS,train
row_003641,Malware,train
row_014411,Intrusion,train
row_019665,Intrusion,train
row_009338,DDoS,train
row_025631,DDoS,train
row_021488,DDoS,train
row_019982,Malware,train
row_004508,Intrusion,train
row_024408,Malware,train
row_015129,Malware,train
row_012640,Malware,train
row_016184,DDoS,train
row_009379,Malware,train
row_009626,DDoS,train
row_014922,Intrusion,train
row_013447,DDoS,train
row_019381,Malware,train
row_022125,Intrusion,train
row_000401,DDoS,train
row_025081,Malware,train
row_039765,Intrusion,train
row_009538,DDoS,train
row_035032,Intrusion,train
row_030030,DDoS,train
row_038069,Intrusion,train
row_012747,Malware,train
row_028331,Intrusion,train
row_001328,DDoS,train
row_001389,DDoS,train
row_012390,Malware,train
row_004541,DDoS,train
row_024688,Intrusion,train
row_015032,Malware,train
row_008931,DDoS,train
row_013249,DDoS,train
row_008806,Intrusion,train
row_001730,DDoS,train
row_004457,Malware,train
row_005858,Malware,train
row_013721,Intrusion,train
row_004601,Intrusion,train
row_029375,Intrusion,train
row_028330,DDoS,train
row_010016,Malware,train
row_036097,Malware,train
row_014177,Malware,train
row_000722,Intrusion,train
row_026646,DDoS,train
row_000718,DDoS,train
row_011286,Intrusion,train
row_000920,Intrusion,train
row_006813,DDoS,train
row_015465,DDoS,train
row_026321,Malware,train
row_026215,Intrusion,train
row_004344,Intrusion,train
row_039353,DDoS,train
row_033330,Malware,train
row_032999,Malware,train
row_016634,DDoS,train
row_036330,DDoS,train
row_028337,Malware,train
row_014118,Intrusion,train
row_025162,Malware,train
row_031271,Intrusion,train
row_012681,Intrusion,train
row_018457,DDoS,train
row_033439,DDoS,train
row_011972,Intrusion,train
row_025239,DDoS,train
row_028194,Intrusion,train
row_035850,DDoS,train
row_007858,Malware,train
row_009289,Malware,train
row_017051,Intrusion,train
row_014458,DDoS,train
row_023896,Malware,train
row_011644,Malware,train
row_013263,Intrusion,train
row_034130,DDoS,train
row_039979,Malware,train
row_024962,Malware,train
row_005987,Intrusion,train
row_024236,DDoS,train
row_032231,Intrusion,train
row_032629,Malware,train
row_028747,DDoS,train
row_016814,Intrusion,train
row_012051,Malware,train
row_007247,Malware,train
row_009287,Intrusion,train
row_031374,Malware,train
row_035973,Malware,train
row_018078,Malware,train
row_004785,DDoS,train
row_001405,Intrusion,train
row_005261,Malware,train
row_036952,Intrusion,train
row_006381,Intrusion,train
row_013072,DDoS,train
row_009943,Intrusion,train
row_001408,DDoS,train
row_038794,DDoS,train
row_009988,Intrusion,train
row_017440,Intrusion,train
row_020492,Malware,train
row_001390,Intrusion,train
row_016048,DDoS,train
row_028986,Malware,train
row_004378,DDoS,train
row_024981,Intrusion,train
row_020079,DDoS,train
row_006291,DDoS,train
row_008574,Malware,train
row_037049,Intrusion,train
row_013040,Malware,train
row_011320,Malware,train
row_012128,DDoS,train
row_006375,DDoS,train
row_013564,Malware,train
row_005933,Intrusion,train
row_003204,Malware,train
row_017935,Malware,train
row_000948,DDoS,train
row_028820,Malware,train
row_017357,DDoS,train
row_011695,DDoS,train
row_002153,Intrusion,train
row_010198,Intrusion,train
row_010670,DDoS,train
row_010228,DDoS,train
row_001300,DDoS,train
row_000531,Malware,train
row_021521,DDoS,train
row_022821,Intrusion,train
row_001236,Malware,train
row_012630,DDoS,train
row_037387,DDoS,train
row_015656,Malware,train
row_004570,Intrusion,train
row_002636,Intrusion,train
row_003650,Malware,train
row_010019,Malware,train
row_015291,Malware,train
row_000898,Intrusion,train
row_005158,Malware,train
row_021897,DDoS,train
row_004984,DDoS,train
row_006750,Intrusion,train
row_019757,Intrusion,train
row_033192,Intrusion,train
row_034215,Intrusion,train
row_038178,DDoS,train
row_027095,Malware,train
row_006368,Intrusion,train
row_034034,DDoS,train
row_005205,Malware,train
row_026195,DDoS,train
row_005167,Intrusion,train
row_020501,Intrusion,train
row_024947,DDoS,train
row_010118,DDoS,train
row_021666,DDoS,train
row_035477,Intrusion,train
row_010259,Intrusion,train
row_011048,Malware,train
row_005000,Intrusion,train
row_008060,Intrusion,train
row_013750,Malware,train
row_036439,Intrusion,train
row_009964,Intrusion,train
row_036818,Intrusion,train
row_011884,Malware,train
row_021558,DDoS,train
row_038236,Malware,train
row_011636,DDoS,train
row_010219,Malware,train
row_003129,Malware,train
row_028997,Malware,train
row_011993,Intrusion,train
row_036803,Intrusion,train
row_018300,Malware,train
row_032957,Malware,train
row_004597,Intrusion,train
row_010441,DDoS,train
row_037487,Intrusion,train
row_033215,Malware,train
row_026828,Intrusion,train
row_028271,DDoS,train
row_027249,Intrusion,train
row_006164,DDoS,train
row_015972,DDoS,train
row_031096,Intrusion,train
row_012560,Malware,train
row_013348,Intrusion,train
row_010629,Malware,train
row_027864,Malware,train
row_015762,Intrusion,train
row_034200,Malware,train
row_015964,Intrusion,train
row_037018,Malware,train
row_019160,DDoS,train
row_020209,Intrusion,train
row_006776,DDoS,train
row_022156,Malware,train
row_002583,Malware,train
row_039546,Malware,train
row_018801,DDoS,train
row_034181,Intrusion,train
row_033314,Intrusion,train
row_026486,Malware,train
row_032050,Intrusion,train
row_001104,Malware,train
row_014623,DDoS,train
row_024286,Intrusion,train
row_025336,DDoS,train
row_025046,Malware,train
row_011330,DDoS,train
row_017324,DDoS,train
row_034955,Intrusion,train
row_028647,DDoS,train
row_029950,DDoS,train
row_000187,Malware,train
row_019059,Intrusion,train
row_027964,Intrusion,train
row_002226,DDoS,train
row_028284,Malware,train
row_003533,Malware,train
row_008145,Malware,train
row_005679,Intrusion,train
row_001554,Malware,train
row_022838,Intrusion,train
row_008443,DDoS,train
row_021088,DDoS,train
row_004367,Malware,train
row_013843,Intrusion,train
row_006373,Intrusion,train
row_028745,Malware,train
row_033355,DDoS,train
row_002075,Malware,train
row_006332,DDoS,train
row_017458,Malware,train
row_018681,Intrusion,train
row_022832,Intrusion,train
row_014538,DDoS,train
row_038352,Malware,train
row_004000,Malware,train
row_017992,Malware,train
row_036410,Intrusion,train
row_002880,Intrusion,train
row_033980,Malware,train
row_031270,DDoS,train
row_029970,Intrusion,train
row_009024,DDoS,train
row_015674,Malware,train
row_002701,Intrusion,train
row_030550,Malware,train
row_031759,Intrusion,train
row_024334,DDoS,train
row_038589,DDoS,train
row_005901,Malware,train
row_018699,DDoS,train
row_023850,DDoS,train
row_019274,DDoS,train
row_012076,DDoS,train
row_034134,DDoS,train
row_001255,DDoS,train
row_024945,DDoS,train
row_013431,DDoS,train
row_033504,Intrusion,train
row_003008,Intrusion,train
row_036877,Malware,train
row_032499,Malware,train
row_014234,Intrusion,train
row_000035,Intrusion,train
row_029325,DDoS,train
row_018642,Intrusion,train
row_031900,DDoS,train
row_032489,Intrusion,train
row_036963,Malware,train
row_004863,DDoS,train
row_010105,Intrusion,train
row_011116,DDoS,train
row_002526,Malware,train
row_037965,Malware,train
row_002381,DDoS,train
row_002237,Malware,train
row_012058,Intrusion,train
row_005041,DDoS,train
row_002556,Intrusion,train
row_022226,Intrusion,train
row_039296,DDoS,train
row_004299,Intrusion,train
row_035079,Malware,train
row_000788,Malware,train
row_028383,Malware,train
row_005438,Malware,train
row_018153,Intrusion,train
row_016257,Intrusion,train
row_001434,DDoS,train
row_020706,Malware,train
row_023760,DDoS,train
row_028793,Malware,train
row_015957,DDoS,train
row_026394,Intrusion,train
row_025797,Intrusion,train
row_031192,Malware,train
row_035405,DDoS,train
row_019295,Malware,train
row_019225,Intrusion,train
row_011172,Intrusion,train
row_002942,DDoS,train
row_004572,DDoS,train
row_012478,Malware,train
row_031407,Malware,train
row_033589,Intrusion,train
row_025592,DDoS,train
row_009225,DDoS,train
row_000951,Malware,train
row_039753,DDoS,train
row_007188,Malware,train
